a1_a,a1_b,a1_c,a2,a5_bdh,a5_byr,a5_bmfs1,a5_bmfs2,a5_mdh,a5_myr,a5_mmfs1,a5_mmfs2,a15,a17a_ths,a17b_ths,a17c_ths,a17d_ths,a17e_ths,a17f_ths,a17g_ths,b1_a,b1_b,b1_c,b2_a,b2_b,b2_c,b2_d,b2_e,b5_a,b5_b,b5_c,b5_d,b5_e,c1,c5,d1,d2,d4_recode1,d4_recode2,d4_recode3,d5_age,classid,tfa_teacher,mprid,schoolid,blockid,grade,treatment,bilingual,cscurr,dob,gender,race,hispanic,freelunch,absentdays,suspensions,suspdays,tstform,ge_r,ge_m,ss_r,ss_m,npr_r,npr_m,spanish,pretstform,prege_r,prege_m,press_r,press_m,prenpr_r,prenpr_m,prespanish
2,2,1,40,1,2000,29,,2,,,,1,3,,1,1,,,,90,5,5,4,4,3,2,2,4,3,2,2,2,2,2,2,2,0,1,0,28,112,0,1103420,508,11,3,0,0,20,01/22/1994,M,Asian/PI/Missing,Yes,Yes,1,,,L,023,034,160,177,12,36,0,K,020,020,154,153,15,13,0
2,2,1,40,1,2000,29,,2,,,,1,3,,1,1,,,,90,5,5,4,4,3,2,2,4,3,2,2,2,2,2,2,2,0,1,0,28,112,0,1103390,508,11,3,0,0,20,04/02/1994,M,Black,No,Yes,17,,,L,027,040,167,188,20,55,0,K,018,024,150,159,10,21,0
2,2,1,40,1,2000,29,,2,,,,1,3,,1,1,,,,90,5,5,4,4,3,2,2,4,3,2,2,2,2,2,2,2,0,1,0,28,112,0,1103400,508,11,3,0,0,20,04/13/1994,M,Asian/PI/Missing,Yes,Yes,11,,,L,023,026,161,162,13,13,0,K,016,022,146,155,6,15,0
2,2,1,40,1,2000,29,,2,,,,1,3,,1,1,,,,90,5,5,4,4,3,2,2,4,3,2,2,2,2,2,2,2,0,1,0,28,112,0,1103450,508,11,3,0,0,20,09/22/1993,M,Asian/PI/Missing,Yes,Yes,13,3,,L,016,013,146,141,2,1,0,K, K9, K9,131,131,1,1,0
2,2,1,40,1,2000,29,,2,,,,1,3,,1,1,,,,90,5,5,4,4,3,2,2,4,3,2,2,2,2,2,2,2,0,1,0,28,112,0,1103550,508,11,3,0,0,20,12/02/1993,M,Asian/PI/Missing,Yes,Yes,8,,,L,023,028,161,168,13,20,0,K,016,024,146,159,6,21,0
2,2,1,40,1,2000,29,,2,,,,1,3,,1,1,,,,90,5,5,4,4,3,2,2,4,3,2,2,2,2,2,2,2,0,1,0,28,112,0,1103480,508,11,3,0,0,20,01/30/1994,F,Asian/PI/Missing,Yes,Yes,0,,,L,027,029,167,170,20,23,0,K,020,024,154,159,15,21,0
2,2,1,40,1,2000,29,,2,,,,1,3,,1,1,,,,90,5,5,4,4,3,2,2,4,3,2,2,2,2,2,2,2,0,1,0,28,112,0,1103430,508,11,3,0,0,20,01/24/1994,M,Asian/PI/Missing,Yes,Yes,2,,,L,025,026,164,162,16,13,0,K,020,022,154,155,15,15,0
2,2,1,40,1,2000,29,,2,,,,1,3,,1,1,,,,90,5,5,4,4,3,2,2,4,3,2,2,2,2,2,2,2,0,1,0,28,112,0,1103500,508,11,3,0,0,20,10/18/1994,F,Asian/PI/Missing,Yes,Yes,1,,,L,029,026,169,162,22,13,0,K,025,017,164,149,31,9,0
2,2,1,40,1,2000,29,,2,,,,1,3,,1,1,,,,90,5,5,4,4,3,2,2,4,3,2,2,2,2,2,2,2,0,1,0,28,112,0,1103580,508,11,3,0,0,20,04/10/1994,M,Asian/PI/Missing,Yes,Yes,17,2,,L,036,037,182,182,44,44,0,K,027,024,167,159,36,21,0
2,2,1,40,1,2000,29,,2,,,,1,3,,1,1,,,,90,5,5,4,4,3,2,2,4,3,2,2,2,2,2,2,2,0,1,0,28,112,0,1103440,508,11,3,0,0,20,10/18/1994,F,Asian/PI/Missing,Yes,Yes,1,,,L,032,027,176,166,33,18,0,K,025,010,164,134,31,1,0
2,2,1,40,1,2000,29,,2,,,,1,3,,1,1,,,,90,5,5,4,4,3,2,2,4,3,2,2,2,2,2,2,2,0,1,0,28,112,0,1103570,508,11,3,0,0,20,10/18/1994,F,Black,No,Yes,33,1,,L,019,019,152,151,5,4,0,K,014,020,140,153,2,13,0
2,2,1,40,1,2000,29,,2,,,,1,3,,1,1,,,,90,5,5,4,4,3,2,2,4,3,2,2,2,2,2,2,2,0,1,0,28,112,0,1103530,508,11,3,0,0,20,11/11/1993,M,Black,No,Yes,12,1,,L,015,026,142,162,1,13,0,K, K4,014,122,143,1,4,0
2,2,1,40,1,2000,29,,2,,,,1,3,,1,1,,,,90,5,5,4,4,3,2,2,4,3,2,2,2,2,2,2,2,0,1,0,28,112,0,1103520,508,11,3,0,0,20,09/20/1994,F,Asian/PI/Missing,Yes,Yes,7,,,L,018,034,150,177,4,36,0,K,019,016,152,146,12,6,0
2,2,1,40,1,2000,29,,2,,,,1,3,,1,1,,,,90,5,5,4,4,3,2,2,4,3,2,2,2,2,2,2,2,0,1,0,28,112,0,1103460,508,11,3,0,0,20,09/06/1994,M,Asian/PI/Missing,Yes,Yes,3,,,L,029,027,169,166,22,18,0,K,022,019,159,151,22,11,0
3,3,3,25,1,1992,30,,1,2002,1,,1,,,,,,,1,94,3,3,3,3,4,3,2,2,2,2,3,2,2,2,1,2,0,0,1,33,113,1,1103080,508,11,3,1,0,21,06/02/1994,M,Asian/PI/Missing,Yes,Yes,2,,,L,028,035,168,179,21,39,0,K,025,022,164,155,31,15,0
3,3,3,25,1,1992,30,,1,2002,1,,1,,,,,,,1,94,3,3,3,3,4,3,2,2,2,2,3,2,2,2,1,2,0,0,1,33,113,1,1103100,508,11,3,1,0,21,06/18/1994,F,Black,No,Yes,15,2,,L,025,029,163,170,15,23,0,K,014,020,140,153,2,13,0
3,3,3,25,1,1992,30,,1,2002,1,,1,,,,,,,1,94,3,3,3,3,4,3,2,2,2,2,3,2,2,2,1,2,0,0,1,33,113,1,1103060,508,11,3,1,0,21,03/15/1993,M,Asian/PI/Missing,Yes,Yes,11,1,,L,021,034,156,177,8,36,0,K,014,025,140,161,2,25,0
3,3,3,25,1,1992,30,,1,2002,1,,1,,,,,,,1,94,3,3,3,3,4,3,2,2,2,2,3,2,2,2,1,2,0,0,1,33,113,1,1102930,508,11,3,1,0,21,11/04/1993,F,Asian/PI/Missing,Yes,Yes,31,4,,L,023,029,160,170,12,23,0,K,020,017,154,149,15,9,0
3,3,3,25,1,1992,30,,1,2002,1,,1,,,,,,,1,94,3,3,3,3,4,3,2,2,2,2,3,2,2,2,1,2,0,0,1,33,113,1,1103110,508,11,3,1,0,21,05/17/1993,F,Asian/PI/Missing,Yes,Yes,4,,,L,013,027,137,166,1,18,0,K,017,022,148,155,8,15,0
3,3,3,25,1,1992,30,,1,2002,1,,1,,,,,,,1,94,3,3,3,3,4,3,2,2,2,2,3,2,2,2,1,2,0,0,1,33,113,1,1102990,508,11,3,1,0,21,04/12/1994,M,Asian/PI/Missing,Yes,Yes,4,,,L,032,017,176,149,33,3,0,K,024,017,162,149,27,9,0
3,3,3,25,1,1992,30,,1,2002,1,,1,,,,,,,1,94,3,3,3,3,4,3,2,2,2,2,3,2,2,2,1,2,0,0,1,33,113,1,1103050,508,11,3,1,0,21,04/29/1994,M,Asian/PI/Missing,Yes,Yes,11,,,L,023,040,160,188,12,55,0,K,016,028,146,168,6,39,0
3,3,3,25,1,1992,30,,1,2002,1,,1,,,,,,,1,94,3,3,3,3,4,3,2,2,2,2,3,2,2,2,1,2,0,0,1,33,113,1,1103020,508,11,3,1,0,21,04/17/1993,M,Asian/PI/Missing,Yes,Yes,0,,,L,026,042,165,191,17,61,0,K,025,037,164,182,31,69,0
3,3,3,25,1,1992,30,,1,2002,1,,1,,,,,,,1,94,3,3,3,3,4,3,2,2,2,2,3,2,2,2,1,2,0,0,1,33,113,1,1102940,508,11,3,1,0,21,01/12/1994,F,Asian/PI/Missing,Yes,Yes,3,,,L,023,038,161,185,13,50,0,K,018,026,150,165,10,32,0
3,3,3,25,1,1992,30,,1,2002,1,,1,,,,,,,1,94,3,3,3,3,4,3,2,2,2,2,3,2,2,2,1,2,0,0,1,33,113,1,1102970,508,11,3,1,0,21,09/21/1994,M,Asian/PI/Missing,No,Yes,4,,,L,031,042,174,191,30,61,0,K,025,025,164,161,31,25,0
3,3,3,25,1,1992,30,,1,2002,1,,1,,,,,,,1,94,3,3,3,3,4,3,2,2,2,2,3,2,2,2,1,2,0,0,1,33,113,1,1103030,508,11,3,1,0,21,06/08/1994,M,Asian/PI/Missing,Yes,Yes,11,,,L,025,035,164,179,16,39,0,K,025,027,164,167,31,37,0
3,3,3,25,1,1992,30,,1,2002,1,,1,,,,,,,1,94,3,3,3,3,4,3,2,2,2,2,3,2,2,2,1,2,0,0,1,33,113,1,1103070,508,11,3,1,0,21,11/17/1993,M,Asian/PI/Missing,Yes,Yes,,,,L,017,017,148,149,45,47,0,K,015,017,142,149,3,9,0
3,3,3,25,1,1992,30,,1,2002,1,,1,,,,,,,1,94,3,3,3,3,4,3,2,2,2,2,3,2,2,2,1,2,0,0,1,33,113,1,1103040,508,11,3,1,0,21,07/03/1994,M,Asian/PI/Missing,Yes,Yes,2,,,L,019,019,152,151,5,4,0,K,015,016,142,146,3,6,0
3,3,3,25,1,1992,30,,1,2002,1,,1,,,,,,,1,94,3,3,3,3,4,3,2,2,2,2,3,2,2,2,1,2,0,0,1,33,113,1,1102980,508,11,3,1,0,21,05/31/1994,F,Black,No,Yes,17,1,,L,029,042,169,191,22,61,0,K,026,026,165,163,33,28,0
3,3,3,25,1,1992,30,,1,2002,1,,1,,,,,,,1,94,3,3,3,3,4,3,2,2,2,2,3,2,2,2,1,2,0,0,1,33,113,1,1103000,508,11,3,1,0,21,08/05/1994,F,Black,No,Yes,7,1,,L,015,026,141,164,1,15,0,K,011,014,133,143,1,4,0
3,3,3,25,1,1992,30,,1,2002,1,,1,,,,,,,1,94,3,3,3,3,4,3,2,2,2,2,3,2,2,2,1,2,0,0,1,33,113,1,1103010,508,11,3,1,0,21,11/15/1994,M,Asian/PI/Missing,Yes,Yes,0,,,L,031,042,174,191,30,61,0,K,024,026,162,163,27,28,0
2,2,2,0,1,2001,2,,1,2003,1,,1,2,2,2,2,2,2,,80,10,10,3,3,3,3,2,3,2,2,3,1,2,2,1,2,1,0,0,24,114,1,1102450,508,12,4,1,0,35,04/30/1992,M,Asian/PI/Missing,Yes,Yes,5,,,L,025,030,163,172,6,12,0,K,022,023,158,157,7,6,0
2,2,2,0,1,2001,2,,1,2003,1,,1,2,2,2,2,2,2,,80,10,10,3,3,3,3,2,3,2,2,3,1,2,2,1,2,1,0,0,24,114,1,1102470,508,12,4,1,0,35,04/20/1993,F,Black,No,Yes,7,,,L,031,034,173,177,14,17,0,K,022,021,158,154,7,4,0
2,2,2,0,1,2001,2,,1,2003,1,,1,2,2,2,2,2,2,,80,10,10,3,3,3,3,2,3,2,2,3,1,2,2,1,2,1,0,0,24,114,1,1102580,508,12,4,1,0,35,12/24/1992,F,Asian/PI/Missing,Yes,Yes,3,,,L,041,036,190,180,34,20,0,K,028,021,168,154,16,4,0
2,2,2,0,1,2001,2,,1,2003,1,,1,2,2,2,2,2,2,,80,10,10,3,3,3,3,2,3,2,2,3,1,2,2,1,2,1,0,0,24,114,1,1102640,508,12,4,1,0,35,07/16/1993,F,Asian/PI/Missing,Yes,Yes,0,,,L,043,048,193,200,39,50,0,K,028,038,168,184,16,42,0
2,2,2,0,1,2001,2,,1,2003,1,,1,2,2,2,2,2,2,,80,10,10,3,3,3,3,2,3,2,2,3,1,2,2,1,2,1,0,0,24,114,1,1102400,508,12,4,1,0,35,09/11/1993,F,Black,No,Yes,4,1,,L,033,038,177,186,18,27,0,K,031,026,173,164,23,12,0
2,2,2,0,1,2001,2,,1,2003,1,,1,2,2,2,2,2,2,,80,10,10,3,3,3,3,2,3,2,2,3,1,2,2,1,2,1,0,0,24,114,1,1102570,508,12,4,1,0,35,12/12/1992,F,Asian/PI/Missing,Yes,Yes,27,4,,L,036,036,182,180,24,20,0,K,020,029,154,170,5,19,0
2,2,2,0,1,2001,2,,1,2003,1,,1,2,2,2,2,2,2,,80,10,10,3,3,3,3,2,3,2,2,3,1,2,2,1,2,1,0,0,24,114,1,1102560,508,12,4,1,0,35,04/22/1993,M,Asian/PI/Missing,Yes,Yes,8,,,L,039,053,187,206,30,60,0,K,038,043,185,192,43,55,0
2,2,2,0,1,2001,2,,1,2003,1,,1,2,2,2,2,2,2,,80,10,10,3,3,3,3,2,3,2,2,3,1,2,2,1,2,1,0,0,24,114,1,1102600,508,12,4,1,0,35,04/02/1993,F,Black,No,Yes,29,,,L,037,036,184,180,26,20,0,K,032,033,175,176,26,28,0
2,2,2,0,1,2001,2,,1,2003,1,,1,2,2,2,2,2,2,,80,10,10,3,3,3,3,2,3,2,2,3,1,2,2,1,2,1,0,0,24,114,1,1102490,508,12,4,1,0,35,04/18/1992,F,Asian/PI/Missing,Yes,Yes,3,,,L,032,036,175,180,16,20,0,K,031,038,173,184,23,42,0
2,2,2,0,1,2001,2,,1,2003,1,,1,2,2,2,2,2,2,,80,10,10,3,3,3,3,2,3,2,2,3,1,2,2,1,2,1,0,0,24,114,1,1102610,508,12,4,1,0,35,03/10/1993,F,Asian/PI/Missing,Yes,Yes,10,,,L,035,037,180,183,21,24,0,K,039,034,187,178,46,32,0
2,2,2,0,1,2001,2,,1,2003,1,,1,2,2,2,2,2,2,,80,10,10,3,3,3,3,2,3,2,2,3,1,2,2,1,2,1,0,0,24,114,1,1102440,508,12,4,1,0,35,11/09/1993,F,Black,No,Yes,14,1,,L,033,027,178,167,19,8,0,K,025,024,164,159,12,7,0
2,2,2,0,1,2001,2,,1,2003,1,,1,2,2,2,2,2,2,,80,10,10,3,3,3,3,2,3,2,2,3,1,2,2,1,2,1,0,0,24,114,1,1102530,508,12,4,1,0,35,05/17/1993,F,Black,No,Yes,5,,,L,037,038,184,186,26,27,0,K,041,033,190,176,50,28,0
2,2,2,0,1,2001,2,,1,2003,1,,1,2,2,2,2,2,2,,80,10,10,3,3,3,3,2,3,2,2,3,1,2,2,1,2,1,0,0,24,114,1,1102550,508,12,4,1,0,35,06/05/1992,M,Asian/PI/Missing,Yes,Yes,15,1,,L,033,036,177,180,18,20,0,K,018,023,150,157,3,6,0
2,2,2,0,1,2001,2,,1,2003,1,,1,2,2,2,2,2,2,,80,10,10,3,3,3,3,2,3,2,2,3,1,2,2,1,2,1,0,0,24,114,1,1102480,508,12,4,1,0,35,11/25/1992,F,Asian/PI/Missing,Yes,Yes,11,2,,L,025,048,163,200,6,50,0,K,028,036,168,181,16,37,0
2,2,2,0,1,2001,2,,1,2003,1,,1,2,2,2,2,2,2,,80,10,10,3,3,3,3,2,3,2,2,3,1,2,2,1,2,1,0,0,24,114,1,1102620,508,12,4,1,0,35,09/23/1993,M,Asian/PI/Missing,Yes,Yes,8,,,L,048,053,200,206,50,60,0,K,020,026,154,162,5,10,0
2,2,2,0,1,2001,2,,1,2003,1,,1,2,2,2,2,2,2,,80,10,10,3,3,3,3,2,3,2,2,3,1,2,2,1,2,1,0,0,24,114,1,1102520,508,12,4,1,0,35,03/25/1993,M,Asian/PI/Missing,Yes,Yes,16,,,L,037,053,184,206,26,60,0,K,023,031,161,173,9,23,0
2,2,2,0,1,2001,2,,1,2003,1,,1,2,2,2,2,2,2,,80,10,10,3,3,3,3,2,3,2,2,3,1,2,2,1,2,1,0,0,24,114,1,1102500,508,12,4,1,0,35,08/23/1993,M,Asian/PI/Missing,Yes,Yes,1,,,L,035,034,180,177,21,17,0,K,025,027,164,167,12,15,0
2,2,2,0,1,2001,2,,1,2003,1,,1,2,2,2,2,2,2,,80,10,10,3,3,3,3,2,3,2,2,3,1,2,2,1,2,1,0,0,24,114,1,1102410,508,12,4,1,0,35,01/27/1993,M,Asian/PI/Missing,Yes,Yes,17,1,,L,035,036,180,180,21,20,0,K,033,027,178,167,30,15,0
2,2,2,0,1,2001,2,,1,2003,1,,1,2,2,2,2,2,2,,80,10,10,3,3,3,3,2,3,2,2,3,1,2,2,1,2,1,0,0,24,114,1,1102430,508,12,4,1,0,35,11/16/1993,F,Asian/PI/Missing,Yes,Yes,22,1,,L,023,025,160,161,4,4,0,K,020,023,154,157,5,6,0
2,2,2,0,1,2001,2,,1,2003,1,,1,2,2,2,2,2,2,,80,10,10,3,3,3,3,2,3,2,2,3,1,2,2,1,2,1,0,0,24,114,1,1102420,508,12,4,1,0,35,07/03/1993,F,Asian/PI/Missing,Yes,Yes,7,,,L,043,046,193,196,39,43,0,K,030,026,171,162,20,10,0
2,2,2,0,1,2001,2,,1,2003,1,,1,2,2,2,2,2,2,,80,10,10,3,3,3,3,2,3,2,2,3,1,2,2,1,2,1,0,0,24,114,1,1102460,508,12,4,1,0,35,12/16/1992,M,Black,No,Yes,3,,,L,055,048,210,200,65,50,0,K,030,040,171,188,20,48,0
4,4,4,30,1,1989,31,2,2,,,,1,3,3,,3,3,3,,70,10,20,4,3,3,3,2,4,2,3,3,2,2,2,1,2,1,0,0,39,115,0,1103130,508,12,4,0,0,37,08/25/1993,M,Asian/PI/Missing,Yes,Yes,28,0,0,L,029,034,169,177,10,17,0,K,025,036,164,181,12,37,0
4,4,4,30,1,1989,31,2,2,,,,1,3,3,,3,3,3,,70,10,20,4,3,3,3,2,4,2,3,3,2,2,2,1,2,1,0,0,39,115,0,1103160,508,12,4,0,0,37,01/08/1992,F,Asian/PI/Missing,Yes,Yes,1,0,0,L,041,041,190,189,34,32,0,K,032,033,175,176,26,28,0
4,4,4,30,1,1989,31,2,2,,,,1,3,3,,3,3,3,,70,10,20,4,3,3,3,2,4,2,3,3,2,2,2,1,2,1,0,0,39,115,0,1103230,508,12,4,0,0,37,03/19/1993,M,Black,No,Yes,8,2,0,L,032,027,175,167,16,8,0,K,025,016,164,147,12,1,0
4,4,4,30,1,1989,31,2,2,,,,1,3,3,,3,3,3,,70,10,20,4,3,3,3,2,4,2,3,3,2,2,2,1,2,1,0,0,39,115,0,1103120,508,12,4,0,0,37,04/22/1993,M,Black,No,Yes,10,0,0,L,025,025,163,161,6,4,0,K,027,017,166,149,14,2,0
4,4,4,30,1,1989,31,2,2,,,,1,3,3,,3,3,3,,70,10,20,4,3,3,3,2,4,2,3,3,2,2,2,1,2,1,0,0,39,115,0,1103290,508,12,4,0,0,37,01/12/1993,M,Asian/PI/Missing,Yes,Yes,8,0,0,L,039,046,187,196,30,43,0,K,027,048,166,201,14,71,0
4,4,4,30,1,1989,31,2,2,,,,1,3,3,,3,3,3,,70,10,20,4,3,3,3,2,4,2,3,3,2,2,2,1,2,1,0,0,39,115,0,1103320,508,12,4,0,0,37,09/08/1993,M,Asian/PI/Missing,Yes,Yes,12,1,0,L,022,033,158,175,3,15,0,K,018,038,150,184,3,42,0
4,4,4,30,1,1989,31,2,2,,,,1,3,3,,3,3,3,,70,10,20,4,3,3,3,2,4,2,3,3,2,2,2,1,2,1,0,0,39,115,0,1103180,508,12,4,0,0,37,12/08/1991,M,Asian/PI/Missing,Yes,Yes,5,0,0,L,023,034,160,177,4,17,0,K,032,033,175,176,26,28,0
4,4,4,30,1,1989,31,2,2,,,,1,3,3,,3,3,3,,70,10,20,4,3,3,3,2,4,2,3,3,2,2,2,1,2,1,0,0,39,115,0,1103380,508,12,4,0,0,37,09/16/1992,F,Black,No,Yes,17,1,0,L,021,025,155,161,2,4,0,K,031,026,173,162,23,10,0
4,4,4,30,1,1989,31,2,2,,,,1,3,3,,3,3,3,,70,10,20,4,3,3,3,2,4,2,3,3,2,2,2,1,2,1,0,0,39,115,0,1103370,508,12,4,0,0,37,05/12/1993,M,Asian/PI/Missing,Yes,Yes,15,0,0,L,031,034,173,177,14,17,0,K,032,033,175,176,26,28,0
4,4,4,30,1,1989,31,2,2,,,,1,3,3,,3,3,3,,70,10,20,4,3,3,3,2,4,2,3,3,2,2,2,1,2,1,0,0,39,115,0,1103190,508,12,4,0,0,37,08/16/1993,F,Black,No,Yes,6,0,0,L,032,030,175,172,16,12,0,K,025,024,164,159,12,7,0
4,4,4,30,1,1989,31,2,2,,,,1,3,3,,3,3,3,,70,10,20,4,3,3,3,2,4,2,3,3,2,2,2,1,2,1,0,0,39,115,0,1103200,508,12,4,0,0,37,03/10/1993,F,Asian/PI/Missing,Yes,Yes,180,0,0,L,048,043,200,193,50,38,0,K,031,027,173,167,23,15,0
4,4,4,30,1,1989,31,2,2,,,,1,3,3,,3,3,3,,70,10,20,4,3,3,3,2,4,2,3,3,2,2,2,1,2,1,0,0,39,115,0,1103260,508,12,4,0,0,37,03/26/1993,F,Black,No,Yes,23,0,0,L,033,028,178,169,19,9,0,K,028,031,168,173,16,23,0
4,4,4,30,1,1989,31,2,2,,,,1,3,3,,3,3,3,,70,10,20,4,3,3,3,2,4,2,3,3,2,2,2,1,2,1,0,0,39,115,0,1103210,508,12,4,0,0,37,10/19/1993,M,Asian/PI/Missing,Yes,Yes,6,0,0,L,023,037,160,183,4,24,0,K,033,046,178,196,30,62,0
4,4,4,30,1,1989,31,2,2,,,,1,3,3,,3,3,3,,70,10,20,4,3,3,3,2,4,2,3,3,2,2,2,1,2,1,0,0,39,115,0,1103330,508,12,4,0,0,37,06/08/1992,F,Asian/PI/Missing,Yes,Yes,18,0,0,L,021,023,155,156,2,1,0,K,022,026,158,164,7,12,0
4,4,4,30,1,1989,31,2,2,,,,1,3,3,,3,3,3,,70,10,20,4,3,3,3,2,4,2,3,3,2,2,2,1,2,1,0,0,39,115,0,1103140,508,12,4,0,0,37,07/24/1992,M,Asian/PI/Missing,Yes,Yes,26,1,1,L,030,024,171,159,12,3,0,K,020,036,154,181,5,37,0
4,4,4,30,1,1989,31,2,2,,,,1,3,3,,3,3,3,,70,10,20,4,3,3,3,2,4,2,3,3,2,2,2,1,2,1,0,0,39,115,0,1103310,508,12,4,0,0,37,08/19/1992,M,Asian/PI/Missing,Yes,Yes,180,0,0,L,019,027,152,167,1,8,0,K,032,027,175,167,26,15,0
6,2,4,4,1,1997,2,22,1,1999,28,,2,3,3,3,1,2,2,1,60,30,10,3,3,3,2,2,3,1,3,2,2,2,2,2,2,1,0,0,28,116,0,1102670,508,12,4,0,0,34,10/23/1992,M,Asian/PI/Missing,Yes,Yes,,,,L,022,037,158,183,3,24,0,K,023,020,161,152,9,3,0
6,2,4,4,1,1997,2,22,1,1999,28,,2,3,3,3,1,2,2,1,60,30,10,3,3,3,2,2,3,1,3,2,2,2,2,2,2,1,0,0,28,116,0,1102770,508,12,4,0,0,34,05/09/1993,F,Asian/PI/Missing,Yes,Yes,0,,,L,016,026,146,164,1,6,0,K,013,031,135,173,1,23,0
6,2,4,4,1,1997,2,22,1,1999,28,,2,3,3,3,1,2,2,1,60,30,10,3,3,3,2,2,3,1,3,2,2,2,2,2,2,1,0,0,28,116,0,1102860,508,12,4,0,0,34,07/28/1993,F,Asian/PI/Missing,Yes,Yes,19,,,L,027,028,167,169,8,9,0,K,028,027,168,167,16,15,0
6,2,4,4,1,1997,2,22,1,1999,28,,2,3,3,3,1,2,2,1,60,30,10,3,3,3,2,2,3,1,3,2,2,2,2,2,2,1,0,0,28,116,0,1102700,508,12,4,0,0,34,07/26/1993,M,Asian/PI/Missing,Yes,Yes,12,,,L,032,036,175,180,16,20,0,K,033,026,178,164,30,12,0
6,2,4,4,1,1997,2,22,1,1999,28,,2,3,3,3,1,2,2,1,60,30,10,3,3,3,2,2,3,1,3,2,2,2,2,2,2,1,0,0,28,116,0,1102920,508,12,4,0,0,34,05/29/1993,F,Asian/PI/Missing,Yes,Yes,3,,,L,017,020,149,152,1,1,0,K,017,020,147,152,1,3,0
6,2,4,4,1,1997,2,22,1,1999,28,,2,3,3,3,1,2,2,1,60,30,10,3,3,3,2,2,3,1,3,2,2,2,2,2,2,1,0,0,28,116,0,1102850,508,12,4,0,0,34,10/17/1993,F,Asian/PI/Missing,Yes,Yes,7,,,L,035,038,180,186,21,27,0,K,032,026,175,162,26,10,0
6,2,4,4,1,1997,2,22,1,1999,28,,2,3,3,3,1,2,2,1,60,30,10,3,3,3,2,2,3,1,3,2,2,2,2,2,2,1,0,0,28,116,0,1102870,508,12,4,0,0,34,07/18/1993,F,Asian/PI/Missing,Yes,Yes,3,,,L,025,027,163,167,6,8,0,K,027,026,166,164,14,12,0
6,2,4,4,1,1997,2,22,1,1999,28,,2,3,3,3,1,2,2,1,60,30,10,3,3,3,2,2,3,1,3,2,2,2,2,2,2,1,0,0,28,116,0,1102760,508,12,4,0,0,34,02/18/1993,M,Black,No,Yes,20,,,L,048,046,200,196,50,43,0,K,038,046,185,196,43,62,0
6,2,4,4,1,1997,2,22,1,1999,28,,2,3,3,3,1,2,2,1,60,30,10,3,3,3,2,2,3,1,3,2,2,2,2,2,2,1,0,0,28,116,0,1102840,508,12,4,0,0,34,04/19/1992,M,Asian/PI/Missing,Yes,Yes,0,,,L,029,026,169,164,10,6,0,K,023,015,161,145,9,1,0
6,2,4,4,1,1997,2,22,1,1999,28,,2,3,3,3,1,2,2,1,60,30,10,3,3,3,2,2,3,1,3,2,2,2,2,2,2,1,0,0,28,116,0,1102820,508,12,4,0,0,34,09/24/1992,F,Asian/PI/Missing,Yes,Yes,14,1,,L,019,021,152,154,1,1,0,K,015,026,142,162,1,10,0
6,2,4,4,1,1997,2,22,1,1999,28,,2,3,3,3,1,2,2,1,60,30,10,3,3,3,2,2,3,1,3,2,2,2,2,2,2,1,0,0,28,116,0,1102790,508,12,4,0,0,34,09/23/1993,M,Asian/PI/Missing,Yes,Yes,,,,L,021,038,155,186,2,27,0,K,016,018,144,150,1,2,0
6,2,4,4,1,1997,2,22,1,1999,28,,2,3,3,3,1,2,2,1,60,30,10,3,3,3,2,2,3,1,3,2,2,2,2,2,2,1,0,0,28,116,0,1102740,508,12,4,0,0,34,09/29/1993,M,Asian/PI/Missing,Yes,Yes,20,,,L,035,041,180,189,21,32,0,K,031,033,173,176,23,28,0
6,2,4,4,1,1997,2,22,1,1999,28,,2,3,3,3,1,2,2,1,60,30,10,3,3,3,2,2,3,1,3,2,2,2,2,2,2,1,0,0,28,116,0,1102800,508,12,4,0,0,34,12/11/1992,F,Asian/PI/Missing,Yes,Yes,17,,,L,027,030,167,172,8,12,0,K,020,021,154,154,5,4,0
6,2,4,4,1,1997,2,22,1,1999,28,,2,3,3,3,1,2,2,1,60,30,10,3,3,3,2,2,3,1,3,2,2,2,2,2,2,1,0,0,28,116,0,1102810,508,12,4,0,0,34,07/10/1993,F,Asian/PI/Missing,Yes,Yes,1,,,L,031,038,173,186,14,27,0,K,020,036,154,181,5,37,0
6,2,4,4,1,1997,2,22,1,1999,28,,2,3,3,3,1,2,2,1,60,30,10,3,3,3,2,2,3,1,3,2,2,2,2,2,2,1,0,0,28,116,0,1102910,508,12,4,0,0,34,06/08/1993,M,Black,No,Yes,5,,,L,035,036,180,180,21,20,0,K,030,026,171,162,20,10,0
6,2,4,4,1,1997,2,22,1,1999,28,,2,3,3,3,1,2,2,1,60,30,10,3,3,3,2,2,3,1,3,2,2,2,2,2,2,1,0,0,28,116,0,1102830,508,12,4,0,0,34,07/28/1993,M,Asian/PI/Missing,Yes,Yes,7,,,L,023,034,160,177,4,17,0,K,022,034,158,178,7,32,0
6,2,4,4,1,1997,2,22,1,1999,28,,2,3,3,3,1,2,2,1,60,30,10,3,3,3,2,2,3,1,3,2,2,2,2,2,2,1,0,0,28,116,0,1102750,508,12,4,0,0,34,07/31/1993,M,Asian/PI/Missing,Yes,Yes,5,,,L,023,038,160,186,4,27,0,K,023,023,161,157,9,6,0
